Image,x,y,w,h,1/Bh,1/Bw,1/Bd,Ch,Cw,Cb,midas_max,midas_max_relative,Target,dpt_1,dpt_2,dpt_3,dpt_4,dpt_5,dpt_6,dpt_7,dpt_8,dpt_9,dpt_10,dpt_11,dpt_12,dpt_13,dpt_14,dpt_15,dpt_16,dpt_17,dpt_18,dpt_19,dpt_20,dpt_21,dpt_22,dpt_23,dpt_24,dpt_25,dpt_26,dpt_27,dpt_28,dpt_29,dpt_30,dpt_31,dpt_32,dpt_33,dpt_34,dpt_35,dpt_36
image0,126.918212890625,221.79574584960938,24.2763671875,32.28070068359375,0.12609648704528809,0.09482955932617188,0.11156381440045526,0.1,0.1,0.1,40.428684,0.91384214,1.0107051134109497,38.797127,38.335037,38.004623,37.727592,37.25933,36.989376,39.189774,39.410763,39.326572,39.241627,39.02231,38.40138,39.477688,39.485428,39.398903,39.360664,39.26291,38.930077,39.78866,39.695274,39.645782,39.680634,39.515625,39.22809,40.273087,40.139084,40.143986,40.18342,39.873894,39.42642,40.2976,40.31952,40.19564,40.06039,39.876232,39.59073
image10,129.94273376464844,132.7978057861328,23.888580322265625,27.95452880859375,0.10919737815856934,0.0933147668838501,0.10156700526079539,0.1,0.1,0.1,29.2221,0.46615797,1.0122355222702026,21.434395,28.26379,28.320282,28.284992,28.264904,28.220572,29.000734,28.585354,28.601501,28.544931,28.508816,28.504704,28.662354,28.76286,28.768263,28.701738,28.674095,28.613014,28.924915,28.820086,28.802956,28.774017,28.791851,28.74483,29.11107,28.882769,28.875967,28.887318,28.918613,28.936192,28.584846,29.020222,29.077127,29.07362,29.065372,29.130735
image1002,159.98770141601562,139.66317749023438,10.22259521484375,9.93829345703125,0.03882145881652832,0.0399320125579834,0.03938065065215624,0.1,0.1,0.1,17.452282,0.26965576,2.701746940612793,15.481259,16.986315,17.030622,17.04183,17.098803,16.372723,16.6656,17.041845,17.078087,17.095406,17.135073,17.070465,16.795446,17.05278,17.102451,17.138008,17.205471,17.136633,16.84213,17.133242,17.177912,17.22234,17.293226,17.232018,16.918932,17.232525,17.283352,17.32184,17.377407,17.266474,16.857006,17.38496,17.368153,17.379362,17.438604,17.184126
image101,126.50650024414062,132.65362548828125,13.1502685546875,12.016609191894531,0.04693987965583801,0.05136823654174805,0.04920390242406355,0.1,0.1,0.1,15.658452,0.20733975,2.1012346744537354,15.031801,15.084133,15.141166,15.115551,15.028065,13.105786,15.256268,15.289254,15.32661,15.312891,15.231927,15.001132,15.415089,15.361841,15.407805,15.410335,15.3474455,15.2033825,15.463476,15.447722,15.47585,15.488516,15.446127,15.240009,15.507948,15.538023,15.557222,15.573403,15.547497,15.238204,15.302828,15.60635,15.640778,15.641751,15.60213,15.13686
image1013,136.86740112304688,132.67446899414062,12.475067138671875,11.886528015136719,0.04643175005912781,0.04873073101043701,0.04759512348111349,0.1,0.1,0.1,13.861911,0.18766809,2.6223251819610596,9.940336,11.529126,12.89864,13.113429,12.1662445,11.838167,11.046292,13.13681,13.302149,13.437349,13.457703,12.203852,12.394076,13.277076,13.42593,13.573504,13.708264,12.886309,12.573781,13.360057,13.534872,13.706506,13.788585,13.551393,11.803559,13.405247,13.594661,13.766305,13.873611,13.494032,11.7611885,12.96838,13.566779,13.721277,13.654972,13.627586
image1014,130.90673828125,132.60067749023438,15.968170166015625,12.519157409667969,0.0489029586315155,0.062375664710998535,0.056045619414253164,0.1,0.1,0.1,15.15994,0.23553206,2.068563938140869,11.54678,13.501677,14.129125,14.427446,14.476571,14.275766,14.10792,14.500452,14.585254,14.646572,14.644626,14.660992,14.103669,14.585275,14.673257,14.76103,14.784014,14.814694,14.129068,14.681285,14.750822,14.839715,14.910111,14.965135,14.05598,14.801114,14.846184,14.92849,15.032561,15.099484,13.758435,14.829011,14.88477,14.980044,15.103846,15.141513
image1015,126.50679016113281,132.92300415039062,13.037689208984375,11.854927062988281,0.046308308839797974,0.050928473472595215,0.04867324150830179,0.1,0.1,0.1,11.935339,0.17680268,2.0819613933563232,11.11688,11.6088295,11.574617,11.479489,11.349465,10.680197,11.606841,11.630953,11.616884,11.558688,11.502559,11.3997755,11.627364,11.649065,11.644426,11.610165,11.558704,11.543532,11.695119,11.704699,11.686383,11.66051,11.634956,11.672743,11.783437,11.802442,11.775098,11.74971,11.742461,11.804528,11.82793,11.901121,11.876854,11.856293,11.870899,11.896206
image1017,122.54481506347656,131.90847778320312,61.1170654296875,75.14191436767578,0.2935231029987335,0.2387385368347168,0.267536820796677,0.1,0.1,0.1,38.08908,0.8130803,0.3629544973373413,31.211636,30.806316,30.352684,29.95228,29.524153,19.356312,33.47992,33.108047,32.683723,32.2852,32.00678,31.95091,36.082462,35.787018,35.456528,35.14431,34.90586,34.819763,36.902374,36.64298,36.414337,36.296127,36.112427,36.03923,35.899315,35.65478,35.350883,35.156513,35.013577,34.93017,35.061234,34.815258,34.506523,34.28641,34.14054,28.196133
image102,129.40786743164062,132.73736572265625,10.95263671875,9.748786926269531,0.038081198930740356,0.04278373718261719,0.0405007770253478,0.1,0.1,0.1,17.170748,0.2535486,2.5834779739379883,15.999493,16.66802,16.77211,16.81226,16.820194,16.834583,16.534388,16.863914,16.930523,16.947954,16.953686,16.992424,16.580225,16.922504,16.946602,16.971386,17.001114,17.02264,16.513588,16.972328,17.00114,17.013296,17.042511,17.065437,16.111053,17.025398,17.085333,17.10139,17.122929,17.113644,16.127558,17.022324,17.122602,17.156813,17.166838,17.137354
image1021,124.07791137695312,132.7076873779297,16.037811279296875,16.149932861328125,0.06308567523956299,0.06264770030975342,0.06286706917986669,0.1,0.1,0.1,23.207428,0.32612574,1.6427147388458252,22.701258,22.72198,22.811255,22.724758,22.678926,19.62414,22.946262,23.045921,23.071733,23.08145,22.946203,23.002146,23.048986,23.107594,23.153622,23.182165,23.060555,22.989939,23.125185,23.127857,23.14571,23.182665,23.100368,23.012615,23.158808,23.147902,23.139042,23.142868,23.101849,22.997644,23.13048,23.187689,23.16814,23.151512,23.140902,22.820068
